volume up,JgBIAAABKJEVEBUQFTUVEBYQFRAVEBUQFTUWNRUQFTUVNhU1FTUVNhUQFTUVEBUQFREVEBUQFRAVNRYPFjUVNRU1FjUVNRU1FgANBQ==
volume_up,JgBQAAABKJETEhUQFTUVEBURFBEVEBUQFTUUNxMSFTUVNhQ2FTUVNhQRFDYVEBUQFREUERQRFRAVNRURFDYUNhU1FjUWNBQ2FQAFHgABKUgVAA0F
volume_down,JgBIAAABKJAWEBQRFTUVEBUQFREUERQRFTUVNhQRFTUVNRU2FTUVNhM3EzcVEBUQFREUERQRFRAVEBUQFTYUNhU1FDcUNhU1FQANBQ==
mute,JgBIAAABJ5EWDxURFDYVEBUQFRAVERQRFTUVNRURFDYVNRU2FDYWNBU1FREVEBU1FRAVERQRFBEVEBU1FTYVEBU1FTUVNhU1FQANBQ==
input,JgBIAAABJ5EWDxURFDYVEBUQFg8VERQRFDYVNRURFDYWNBU2FDYVNRU2FDYVEBU1FRAVERQRFRAVEBUQFTYUERU1FTUVNhQ2FQANBQ==
home,JgBQAAABJpMTEhMSFDUUERQRFBEUERQSEzYUNRQRFDYTNhQ1FDUUNhMSFBEUNRQ2EzYUNRQ1FBITNhM2FBEUERQRFBITEhM2FAAFJgABJ0kUAA0F
hdmi_1,JgBQAAABJpIUEhMSEzYTEhQRFBEUERQRFDYTNhQRFDUUNhM2EzYUNhMSEzYUNRQ1FBITEhM2FDUUNhMSFBEUERQ1FDUUEhMSEwAFJgABKEkTAA0F
hdmi_2,JgBQAAABJ5EUEhMSEzYUERQRFBEUERQSEzYTNhQRFDUUNhQ1FDUUNhMSExIUNRQ1FBITEhM2FDUUNhM2FBQRERQ1FDYTEhMSEwAFJwABJ0kUAA0F
hdmi_3,JgBQAAABJpMTEhMSFDUUERQRFBEUEhMSEzYUNRQRFDYTNhQ1FDUUNhM2FBEUERQ2ExITNhQ1FDYTEhM2FDUUERQ2ExITEhQRFAAFJgABJ0kUAA0F
hdmi_4,JgBQAAABJZMUERQRFDYTEhQRFBEUERQRFDUUNhMSFDUUNRQ2EzYUNRQSEzYTEhQ1FDUUEhM2FDUUNRQSEzYUERQRFDUUEhMSEwAFJgABKEkTAA0F
power_on,JgBQAAABJpMTEhMSFDUUERQRFBEUEhMSEzYUNRQRFDYTNhM2FDUUNhMSFBEUNRQRFBITEhM2FDUUNhM2ExITNhQ1FDYTEhMSFAAFJgABJ0kUAA0F
power_off,JgBQAAABJpMVEBQRFDYTEhMSExITEhQRFDUUNhMSEzYUNRQ2EzYUNRQ2ExITNhQRFBEUERQ2EzYTEhQ1FBEUNhM2FDUUERQRFAAFJgABKEgUAA0F
input_av,JgBQAAABJ5IVEBUQFTQVEBUREhMUERMSFDUVNBURFDUTNhU0FTUUNRUQFTQVERI3FDUVEBU1FBEUNRUQFTQVERQREjcUERQ1EwAFJwABJ0kVAA0F
input_component_1,JgBQAAABJ5IUERUQEzYVERQRFBEUERQRFDUVNRQRFDUTNhU0FTUUNRU0FTUUNRU0FTUUNRQRFDUVEBMSFREUERQRFBEUNRUQEwAFJwABKUcVAA0F
service_menu,JgBQAAABJZMUERQRFDYTEhMSExIUERMSFDUUNhMSEzYUNRQ2EzYUNRQ2EzYUNRQ2EzYUNRQ1FDYTEhQRFBEUERQRFBEUERQSEwAFJgABKEgUAA0F
settings,JgBQAAABJpMUERQRFDUUEhMSExITEhMSEzYUNRQSEzYTNhQ1FDYTNhQ1FDYTEhMSFBEUERQ1FBEUEhMSEzYUNRQ2EzYTEhQ1FAAFJgABKEgUAA0F
sleep_timer_menu,JgBQAAABJ5IUERMSEzYTEhMTFBESExITEzYTNxQQEzcUNRM2FDYSNxMSEzYTNxQ1ExIVEBMSExITNxQRExITEhM2FTQTNxQ1FQAFJQABJ0kVAA0F
exit,JgBQAAABJ5EVEBUQFTUVEBUQFRAVEBUQFTQVNRUQFTQVNBY0FTQVNBU1FTQVEBU0FjQVEBU0FRAVEBUQFTUVEBUQFTQVEBU1FQAFJAABKUcVAA0F
back,JgBQAAABJ5IVEBUQEzcUERITEhMTEhMSFDUTNxQREjcUNRU0FTUTNhUQEzcUERQ1FDUVEBMTEhMUNRQRFDUTEhMSEzcTNhM2EwAFJwABJ0kTAA0F
play,JgBQAAABJZQSExMSEzYTEhMSExITExITEjcTNhMSEzcSNxM2EzcSNxMSExITEhMSEzYTNxMSEzYTNxI3EzYTNhMTEhMSNxMSEwAFJwABJ0kTAA0F
pause,JgBQAAABJ5EUEhMSFDUVEBUQFRAVEBUQFTUUNRQRFTQUNhM2FDUUNhMSEzYUERU0FDYUNRUQFTQVNRMSEzYVEBUQFRAVNRMSFQAFJAABKUgUAA0F
fast_forward,JgBQAAABJZMVEBMTEjcTEhMSExITEhMSEzcSNxQREzYTNxQ1FTQVNBUREjcUNRM2FRESExMSFDUTNhURFBESExQ1FDUTNxQREgAFKAABJkoSAA0F
rewind,JgBQAAABJpMTEhMSEzcSExMSExITEhMSEzYTNxMSEzYTNhM3EzYTNhM3EzYTNhM3EhMSExMSEzYTEhMSExITExI3EzYTNhMTEgAFJwABJ0kTAA0F
up,JgBQAAABKpIVEBQRFDUVEBUQFRAVEBUQFTUUNRQRFTQWNBU0FTQWNBUQFRAVEBQRFBEUERQ2FRAUNRU0FTQUNhQ1FDUVERM2FQAFJAABKkcVAA0F
